Document Name,Document Code,Area Name,Assigned Groups,Classification,Meta,Document Type,Last updated by,Action performed,Last update date,Doc Type,Notes
ADA-Identifying Essential Functions of a Job,f64d6,Employment,Answer Docs Access | EnwisenAdmin | HR | PL370 | ,Administration | General | ,Domain:employment | Subject:eepolicy7 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.593,pdf,
Adoption Assistance,dcbce,Employment,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:clientinfo | Domain:employment | Subject:eepolicy1 | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-07-16 18:35:40.260,pdf,
Adoption Assistance Application,6e67e,Forms,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:forms | Subject:company | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:06:20.977,pdf,
Adoption Assistance Reimbursement Request,05bb7,Forms,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:forms | Subject:pay | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:06:20.993,pdf,
Adult Benefit Recipient (ABR) Declaration,dbc57,Forms,Answer Docs Access | EnwisenAdmin | HR | LCM | SFV | ,Administration | General | ,Domain:forms | Subject:benefits | ,Uploaded Document,RKarath,Document Published successfully to Live server,2014-07-03 21:02:53.200,pdf,2014_ABR_CA.PDF
2015 Rate Sheet,4c1e3efa,Health,Answer Docs Access | EnwisenAdmin | HR | PL345PSHMC21TEC | PL365WSNA | PL375SEIU | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,PRVaboures,Undo Check out for edit,2014-11-19 19:01:01.317,pdf,
2015 Rate Sheet,9e368702,Health,Answer Docs Access | EDMNonUnion | EnwisenAdmin | HR | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,mary,Assigned Group : EnwisenAdmin,2015-01-21 11:36:30.747,pdf,
2015 Rate Sheet,d01bdef9,Health,Answer Docs Access | EDMSEIU | EnwisenAdmin | HR | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,mary,Assigned Group : EnwisenAdmin,2015-01-21 11:36:30.700,pdf,
2015 Swedish Health Savings Medical Plan SBC,bf55f139,Benefits,Answer Docs Access | HLYEHS | HLYSHS | HR | ,Administration | General | ,Domain:clientinfo | Subject:bensum | ,Uploaded Document,mary,Document deleted.,2014-12-31 18:46:35.680,pdf,
2015 Travel Advance Form,1a96fe51,Forms,Answer Docs Access | EnwisenAdmin | HR | PSMS-All | WM | ,Administration | General | ,Domain:forms | Subject:pay | ,Uploaded Document,PRVaboures,Undo Check out for edit,2015-01-30 17:54:30.170,xls,
90-day Performance Appraisal,00240072,Manager,Answer Docs Access | EnwisenAdmin | HR | PL784 | ,Administration | General | ,Domain:mgr | ,Uploaded Document,mary,Assigned Group : EnwisenAdmin,2015-01-21 11:36:36.300,doc,
Absence & Lateness Control,d408c,Employment,Answer Docs Access | EnwisenAdmin | HR | PL316 | ,Administration | General | ,Domain:employment | Subject:eepolicy6 | ,Uploaded Document,RKarath,Document Published successfully to Live server,2014-07-03 21:01:27.040,pdf,
Acceptable Use Agreement,ad495,Forms,Answer Docs Access | CA | EnwisenAdmin | HR | ,Administration | General | ,Domain:forms | Subject:company | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:06:20.883,pdf,
Acceptable Use Agreement,fbfe9,Forms,Answer Docs Access | EnwisenAdmin | HR | PL345 | PL354 | PL357 | PL358 | PL365 | PL370 | PL375 | PL380 | PL390 | ,Administration | General | ,Domain:forms | Subject:company | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:06:20.867,pdf,
Accident Investigation Form,7eac7,Forms,Answer Docs Access | EnwisenAdmin | HR | PSMS-All | ,Administration | General | ,Domain:forms | Subject:safety | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-08-18 17:48:48.650,pdf,
Accommodation for Disabilities,451c1,Employment,Answer Docs Access | EnwisenAdmin | HR | OR | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.593,pdf,
Accounting for Disclosure,731ce,Employment,Answer Docs Access | EnwisenAdmin | HR | OR | ,Administration | General | ,Domain:employment | Subject:eepolicy2 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.593,pdf,
080614 Delete  Verification of Employment Instructions,23c13,Pay,EnwisenAdmin | ,Administration | ,Domain:clientinfo | Subject:pay | ,Uploaded Document,RKarath,Document deleted.,2014-08-06 11:09:36.417,pdf,
080614 Delete Verification of Employment Instructions,2c6d9,Pay,EnwisenAdmin | ,Administration | ,Domain:clientinfo | Subject:pay | ,Uploaded Document,RKarath,Document deleted.,2014-08-06 11:10:36.780,pdf,
2012-2016 SMC and IUOE Local  No. 286 Signed Contract_Addition 11.5.13,45cadc2d,Manager,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:mgr | ,Uploaded Document,RKarath,Assigned Group : HR,2014-06-04 17:01:54.430,pdf,
2014 Expense Reimbursement Form,4cf065c5,Forms,Answer Docs Access | CAW | CCT | EnwisenAdmin | HR | ,Administration | General | ,Domain:forms | Subject:pay | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-07-18 18:56:59.687,lsx,2014 Expense Reimbursement Form (PSJHC AND JWCI).xlsx
2014 Payroll Calendar,04f92,Pay,Answer Docs Access | EnwisenAdmin | HR | SMG | ,Administration | General | ,Domain:pay | Subject:schedules | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:36:25.100,pdf,
2015 Benefit Summary,730fe497,Benefits,Answer Docs Access | EnwisenAdmin | HR | PACMED | ,Administration | General | ,Domain:clientinfo | Subject:bensum | ,Uploaded Document,mempeynado,Undo Check out for edit,2015-07-14 22:24:14.893,pdf,
2015 Group Health HMO SBC​,c4866b2a,Benefits,Answer Docs Access | HLMM91 | HR | ,Administration | General | ,Domain:clientinfo | Subject:bensum | ,Uploaded Document,mary,Document deleted.,2014-12-31 18:44:36.617,pdf,
2015 Premera PPO Medical Plan SBC​,5d1f1fc9,Benefits,Answer Docs Access | HLYMMP | HR | ,Administration | General | ,Domain:clientinfo | Subject:bensum | ,Uploaded Document,mary,Document deleted.,2014-12-31 18:45:37.013,pdf,
2015 Rate Sheet,88407a8a,Health,Answer Docs Access | EnwisenAdmin | HR | NWSA | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,PRVaboures,Undo Check out for edit,2014-11-17 18:32:43.423,pdf,
Access to Employee Record Information,4377d,Employment,AK | Answer Docs Access | EnwisenAdmin | HR | ,Administration | General | ,Domain:employment | Subject:eepolicy8 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.423,pdf,
Access to Personal Health Information,460d8,Employment,Answer Docs Access | EnwisenAdmin | HR | OR | ,Administration | General | ,Domain:employment | Subject:eepolicy8 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.437,pdf,
Caregiver Assistance Program Brochure,25dcbe72,Benefits,Answer Docs Access | EDM | HR | MJM | SMC | SMG | ,Administration | General | ,Domain:clientinfo | keywords:eap | Subject:eap | ,Uploaded Document,mary,Document deleted.,2014-12-31 18:47:36.730,pdf,
Caregiver Assistance Program FAQs,348adb1f,Benefits,Answer Docs Access | EDM | HR | MJM | SMC | SMG | ,Administration | General | ,Domain:clientinfo | keywords:eap,cap | Subject:eap | ,Uploaded Document,mary,Document deleted.,2014-12-31 18:48:36.043,pdf,
Carpool - My Commute,420def76,Integration,Answer Docs Access | EnwisenAdmin | HR | PL345 | PL354 | ,Administration | General | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:12:41.167,,http://www.mycommute.org/
Cell Phone Reimbursement Policy,37004,Employment,Answer Docs Access | EnwisenAdmin | HR | SMG | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:20:04.583,pdf,
Certification Cover Sheet,3da21,Forms,Answer Docs Access | EnwisenAdmin | HR | PL345 | PL354 | PL357 | PL358 | PL365 | PL370 | PL375 | PL380 | PL390 | ,Administration | General | ,Domain:forms | Domain:hr | ,Uploaded Document,mary,Document Published successfully to Stage server,2015-06-22 18:24:28.050,doc,
Certification Pay,57a00,Employment,Answer Docs Access | EnwisenAdmin | HR | PL316 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:20:04.660,pdf,
Change of Address, Name or Telephone Number,0fb86,Employment,Answer Docs Access | EnwisenAdmin | HR | PL325 | PL327 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:20:04.693,pdf,
Change of Employment Information,2f5cd,Employment,Answer Docs Access | EnwisenAdmin | HR | PL345 | PL354 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:20:04.707,pdf,
CHIP Enrollment Rights,f50e87bd,Benefits,AK | Answer Docs Access | CA | EDM | EnwisenAdmin | HR | MJM | OR | PACMED | PSMS-All | SMC | SMG | WM | ,Administration | General | ,Domain:clientinfo | Subject:bensum | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-04-17 14:23:32.117,pdf,Chip_Enrollment_Rights.pdf

Classification of Employee Status,f3a44,Employment,Answer Docs Access | EnwisenAdmin | HR | PL430 | ,Administration | General | ,Domain:employment | Subject:eepolicy4 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:20:04.753,pdf,
Click here for further information,cdfc2002,Integration,Answer Docs Access | EnwisenAdmin | HR | ,Administration | ,Domain:integration | keywords:[*keywords*] | Role:[*role*] | Role:[*role1*] | Role:[*role2*] | Subject:[*subject*] | Subject:[*subject2*] | ,Content Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:12:41.200,,http://www.providence.org/alaska/people/forms.htm
080614 Delete  Verification Instructions,60e58,Pay,EnwisenAdmin | ,Administration | ,Domain:clientinfo | Subject:pay | ,Uploaded Document,RKarath,Document deleted.,2014-08-06 11:09:36.290,pdf,
2012 PM Training for Staff,d04e8,Career,Answer Docs Access | EnwisenAdmin | HR | LCM | SFVNo784 | ,Administration | General | ,Domain:career | Subject:learning | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-12-19 15:02:42.963,pdf,
2014 Swedish Edmonds Summary Plan Description,691640d6,Benefits,Answer Docs Access | EDM | EnwisenAdmin | HR | ,Administration | General | ,Domain:clientinfo | Subject:bensum | ,Uploaded Document,mary,Document deleted.,2014-12-31 18:44:36.067,pdf,Swedish_Edmonds_2014_MedicalPlanSPD.pdf

2015 Benefit Rate Sheet,1a8becbe,Health,Answer Docs Access | EnwisenAdmin | HR | PACMED | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,cpeterson,Assigned Group : EnwisenAdmin,2015-05-11 15:11:04.800,pdf,
2015 Benefits At-a-Glance - Physicians,092d3056,Manager,Answer Docs Access | EnwisenAdmin | HR | PL338 | ,Administration | General | ,Subject:manager | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-04-24 16:49:22.353,pdf,
2015 COBRA Rate Sheet,38af2d70,Health,Answer Docs Access | EnwisenAdmin | HR | WMwoMT | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,PRVaboures,Undo Check out for configuration,2014-11-17 18:29:44.893,pdf,
2015 COBRA Rate Sheet,d5957124,Health,Answer Docs Access | CAWUnion | EnwisenAdmin | HR | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2014-11-07 12:56:33.017,pdf,
2015 Health Savings Medical Plan SBC,af3fba4e,Benefits,Answer Docs Access | HLMS93 | HR | ,Administration | General | ,Domain:clientinfo | Subject:bensum | ,Uploaded Document,mary,Document deleted.,2014-12-31 18:45:36.437,pdf,
2015 Rate Sheet,07d6054f,Health,AK | Answer Docs Access | EnwisenAdmin | HR | OR | SEWSA | WMMT | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,PRVjhoffman,Undo Check out for edit,2015-03-23 18:18:57.373,pdf,
2015 Rate Sheet,aa98a1fd,Health,Answer Docs Access | EnwisenAdmin | HR | PL725 | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,mary,Assigned Group : EnwisenAdmin,2014-10-10 19:18:21.000,pdf,
24-Flex Guidelines,9c54e,Forms,Answer Docs Access | EnwisenAdmin | HR | PL465 | ,Administration | General | ,Domain:forms | Subject:pay | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:06:20.820,doc,
080614 Delete  QuickConfirm User Guide,6cf3b,Pay,EnwisenAdmin | ,Administration | ,Domain:clientinfo | Subject:pay | ,Uploaded Document,RKarath,Document deleted.,2014-08-06 11:09:36.150,ppt,
080614 Delete  QuickConfirm User Guide ,8e6ee,Pay,EnwisenAdmin | ,Administration | ,Domain:clientinfo | Subject:pay | ,Uploaded Document,RKarath,Document deleted.,2014-08-06 11:08:36.977,ppt,
080614 Delete  Verification User Guide,88beb,Pay,EnwisenAdmin | ,Administration | ,Domain:clientinfo | Subject:pay | ,Uploaded Document,RKarath,Document deleted.,2014-08-06 11:09:36.540,ptx,
080614 Delete  VOE and VOI Fax Notification Letter,7bcdf,Pay,EnwisenAdmin | ,Administration | ,Domain:clientinfo | Role:mgr | Subject:pay | ,Uploaded Document,RKarath,Document deleted.,2014-08-06 11:09:36.687,pdf,
20 Ways To Use the EAP,6268c,Benefits,Answer Docs Access | EnwisenAdmin | HR | LCM | SFV | ,Administration | General | ,Domain:clientinfo | Subject:eap | ,Uploaded Document,mary,Document deleted.,2014-12-31 18:44:35.897,pdf,
2011-2015 SMC and SEIU 1199NW RN Signed Contract,629ec464,Manager,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:mgr | ,Uploaded Document,RKarath,Assigned Group : HR,2014-06-04 17:01:54.413,pdf,
2015 Blue Shield PPO SBC,10441ca1,Health,Answer Docs Access | CAWUnion | EnwisenAdmin | HR | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,mary,Assigned Group : EnwisenAdmin,2015-01-21 11:36:30.073,pdf,
2015 COBRA Rate Sheet,f5c67ee7,Health,Answer Docs Access | CAWNonUnion | EnwisenAdmin | HR | LCM | PL736 | PL737 | SFV | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,PRVaboures,Undo Check out for configuration,2015-01-23 16:08:35.347,pdf,
2015 OptionPLUS HMO SBC​,d134496e,Benefits,Answer Docs Access | HLMM93 | HR | ,Administration | General | ,Domain:clientinfo | Subject:bensum | ,Uploaded Document,mary,Document deleted.,2014-12-31 18:45:36.617,pdf,
2015 Rate Sheet,bb143659,Health,Answer Docs Access | EnwisenAdmin | HR | PSMS-All | ,Administration | General | ,Domain:clientinfo | Subject:healthben | ,Uploaded Document,mary,Assigned Group : EnwisenAdmin,2014-10-10 19:18:20.953,pdf,
Absence and Tardiness,cf544,Employment,Answer Docs Access | EnwisenAdmin | HR | PL325 | PL327 | ,Administration | General | ,Domain:employment | Subject:eepolicy6 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.407,pdf,
Access to Work Areas,581c6,Employment,Answer Docs Access | EnwisenAdmin | HR | SMC | ,Administration | General | ,Domain:employment | Subject:eepolicy7 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:15:52.547,pdf,
Benefit Change Form,209eb,Forms,Answer Docs Access | EDM | EnwisenAdmin | HR | ,Administration | General | ,Domain:forms | Subject:benefits | ,Uploaded Document,PRVaboures,Document Published successfully to Live server,2015-04-24 13:51:37.667,pdf,
Benevolent Fund Request,b0cf3,Forms,Answer Docs Access | EnwisenAdmin | HR | PL365 | ,Administration | General | ,Domain:forms | Subject:pay | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 20:07:24.250,ocx,
Bereavement,d8f17,Employment,Answer Docs Access | EnwisenAdmin | HR | PL345 | PL354 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:19:19.407,pdf,
Bereavement - Leave of Absence,8ce6f,Employment,Answer Docs Access | EnwisenAdmin | HR | PL380 | ,Administration | General | ,Domain:eepolicy5 | Subject:employment | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:19:19.407,pdf,
Bereavement Leave,859d7,Employment,Answer Docs Access | EnwisenAdmin | HR | PL316 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:19:19.467,pdf,
Bereavement Leave,96ac8,Employment,Answer Docs Access | EnwisenAdmin | HR | PL353 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:19:19.560,pdf,
Bereavement Leave,ef5d0,Employment,Answer Docs Access | EnwisenAdmin | HR | PL315 | ,Administration | General | ,Domain:employment | Subject:eepolicy1 | ,Uploaded Document,mary,Assigned Group : Answer Docs Access,2014-05-08 19:19:19.607,pdf,
Blood and Body Fluid Exposure Packet,f7cd7,Forms,Answer Docs Access | EnwisenAdmin | HR | LCM | SFV | ,Administration | General | ,Domain:forms | Subject:safety | ,Uploaded Document,RKarath,Document Published successfully to Live server,2014-07-03 21:03:24.807,pdf,
